"","state","quantile","occ_category","share_quantile","percentile"
"192","AK",10,"Other Managers",0.00718364339657396,0.25
"193","AK",10,"Business Operations Specialists",0.0101307791490146,0.25
"194","AK",10,"Financial Specialists",0.0044207036286609,0.25
"195","AK",10,"Community and Social Services",0.0219193221587769,0.25
"196","AK",10,"Legal",0.012341130963345,0.25
"197","AK",10,"Arts, Design, Entertainment, Sports, and Media",0.0449438202247191,0.25
"198","AK",10,"Healthcare Practitioners and Technicians",0.0725732179038497,0.25
"199","AK",10,"Healthcare Support",0.0685209062442439,0.25
"200","AK",10,"Protective Service",0.0176828145146436,0.25
"201","AK",10,"Food Preparation and Serving",0.104070731258059,0.25
"202","AK",10,"Building and Grounds Cleaning and Maintenance",0.0515748756677104,0.25
"203","AK",10,"Personal Care and Service",0.0589427150488119,0.25
"204","AK",10,"Sales and Related",0.0838091729600295,0.25
"205","AK",10,"Office and Administrative Support",0.101123595505618,0.25
"206","AK",10,"Farming, Fishing, and Forestry",0.0139988948240928,0.25
"207","AK",10,"Construction",0.0504696997605452,0.25
"208","AK",10,"Installation, Maintenance, and Repair",0.0534168355129858,0.25
"209","AK",10,"Production",0.115675078283293,0.25
"210","AK",10,"Transportation and Material Moving",0.105360103149751,0.25
"211","AK",11,"Chief Executives",0.00205185599701548,0.275
"212","AK",11,"Business Operations Specialists",0.0360007461294535,0.275
"213","AK",11,"Financial Specialists",0.0415967170304048,0.275
"214","AK",11,"Computer and Mathematical",0.0166013803394889,0.275
"215","AK",11,"Community and Social Services",0.00111919418019026,0.275
"216","AK",11,"Legal",0.00858048871479202,0.275
"217","AK",11,"Education, Training, and Library",0.00671516508114158,0.275
"218","AK",11,"Arts, Design, Entertainment, Sports, and Media",0.0443947024808804,0.275
"219","AK",11,"Healthcare Practitioners and Technicians",0.0152956537959336,0.275
"220","AK",11,"Healthcare Support",0.0434620406640552,0.275
"221","AK",11,"Protective Service",0.0246222719641858,0.275
"222","AK",11,"Food Preparation and Serving",0.111546353292296,0.275
"223","AK",11,"Building and Grounds Cleaning and Maintenance",0.0445812348442455,0.275
"224","AK",11,"Personal Care and Service",0.0436485730274203,0.275
"225","AK",11,"Sales and Related",0.23521731020332,0.275
"226","AK",11,"Office and Administrative Support",0.1494124230554,0.275
"227","AK",11,"Farming, Fishing, and Forestry",0.00559597090095131,0.275
"228","AK",11,"Construction",0.0229434806939004,0.275
"229","AK",11,"Installation, Maintenance, and Repair",0.0292855810483119,0.275
"230","AK",11,"Production",0.0692035068084313,0.275
"231","AK",11,"Transportation and Material Moving",0.047006155567991,0.275
"232","AK",11,"Not Identified",0.00111919418019026,0.275
"233","AK",12,"Business Operations Specialists",0.0474865516601744,0.3
"234","AK",12,"Financial Specialists",0.0120571322574661,0.3
"235","AK",12,"Architecture and Engineering",0.00575032461509924,0.3
"236","AK",12,"Community and Social Services",0.00500834724540901,0.3
"237","AK",12,"Legal",0.00908922277870525,0.3
"238","AK",12,"Arts, Design, Entertainment, Sports, and Media",0.0107586718605083,0.3
"239","AK",12,"Healthcare Practitioners and Technicians",0.0766091634205157,0.3
"240","AK",12,"Healthcare Support",0.0419217213874977,0.3
"241","AK",12,"Protective Service",0.0200333889816361,0.3
"242","AK",12,"Food Preparation and Serving",0.122797254683732,0.3
"243","AK",12,"Building and Grounds Cleaning and Maintenance",0.0654795028751623,0.3
"244","AK",12,"Personal Care and Service",0.119643850862549,0.3
"245","AK",12,"Sales and Related",0.110554628083843,0.3
"246","AK",12,"Office and Administrative Support",0.136523836023001,0.3
"247","AK",12,"Farming, Fishing, and Forestry",0.00964570580597292,0.3
"248","AK",12,"Construction",0.00500834724540901,0.3
"249","AK",12,"Installation, Maintenance, and Repair",0.0211463550361714,0.3
"250","AK",12,"Production",0.120014839547394,0.3
"251","AK",12,"Transportation and Material Moving",0.0383973288814691,0.3
