"","state","occ_category","median_income","quantile","share_quantile"
"453","KY","Healthcare Practitioners and Technicians",58994,1,0.0816641055596845
"454","KY","Healthcare Support",27073,1,0.023963202495759
"455","KY","Protective Service",28138,1,0.00836148833590732
"456","KY","Food Preparation and Serving",13506,1,0.0568198650878397
"457","KY","Building and Grounds Cleaning and Maintenance",22908,1,0.0273591917120603
"458","KY","Personal Care and Service",20000,1,0.0246858082042153
"459","KY","Sales and Related",29601,1,0.101412752123057
"460","KY","Office and Administrative Support",31857,1,0.133741951189981
"461","KY","Farming, Fishing, and Forestry",26075,1,0.00505952802641053
"462","KY","Construction",44000,1,0.0438696372931525
"463","KY","Extraction",62475,1,0.00244153140887504
"464","KY","Installation, Maintenance, and Repair",52000,1,0.0392860501032386
"465","KY","Production",40518,1,0.108665858619166
"466","KY","Transportation and Material Moving",35000,1,0.0911429922059053
"467","KY","Not Identified",40000,1,0.011260927640248
"468","LA","Chief Executives",133280,1,0.00579277679100059
"469","LA","Other Managers",88000,1,0.0105827624122473
