"","state","income_cutoff","F","M","16-24","25-34","35-44","45-64","65 and above","African American","Asian and Pacific Islander","Multi-racial","Native American","Other race","White","Bachelor's or above","High school or below","Some college","quantile"
"230","MS",10000,0.470678633356403,0.529321366643597,0.115042952577279,0.233491847320518,0.223545652772506,0.375132405071455,0.0527871422582414,0.341223063164971,0.0108764409516793,0.0334318154192683,0.00283539103837825,0.0145490537533582,0.597084235672345,0.226645233789526,0.44560663228476,0.327748133925714,5
"231","MT",10000,0.457531983136717,0.542468016863283,0.137712765311205,0.252071462416018,0.21665309990402,0.335361260615486,0.0582014117532712,0.0063844780036205,0.00801248952119452,0.0577609981897484,0.0279890412956056,0.0149011651216756,0.884951827868155,0.327449003146679,0.399038987231044,0.273512009622277,5
"232","NC",11000,0.467198598147234,0.532801401852766,0.106660320831102,0.243754048978313,0.221640488145995,0.377593977225155,0.050351164819436,0.198913587494182,0.0386383622131218,0.0615815981682831,0.00872357493504094,0.0498097418710548,0.642333135318317,0.363806694466728,0.378489429974016,0.257703875559256,5
"233","ND",10829,0.446103941294279,0.553896058705721,0.148241225458735,0.25650503004106,0.223154427286716,0.323797777657493,0.0483015395559955,0.0351986885550134,0.0197335354113344,0.047744794042823,0.0257533462725115,0.0115756671280437,0.859993968590274,0.302034440896051,0.366098837793741,0.331866721310208,5
"234","NE",11000,0.457914868016002,0.542085131983998,0.123878908176962,0.231415894875364,0.23000185903263,0.359646695972047,0.0550566419429965,0.0465577888343865,0.0272853293049414,0.0659502803918899,0.00793821570926486,0.0436345698096029,0.808633815949914,0.338992404314712,0.38404247377227,0.276965121913018,5
"235","NH",13000,0.462011641749509,0.537988358250491,0.0981567229943878,0.225071891281829,0.203964456331844,0.407986889503873,0.064820039888066,0.0163765247908969,0.0308378812943523,0.0513926037012415,0.0014416907592647,0.0138120158933845,0.88613928356086,0.412155424313168,0.361918492292945,0.225926083393887,5
"236","NJ",13000,0.45943283541106,0.54056716458894,0.0813780273491131,0.226983160175538,0.225519723014094,0.403909904692485,0.0622091847687707,0.121357944872416,0.119630215328085,0.0962298863199517,0.00440029655664781,0.0974227904283097,0.560958866494591,0.473182904058433,0.343899932101508,0.182917163840059,5
"237","NM",9000,0.455854658654146,0.544145341345854,0.132790273377703,0.246331775615164,0.221945471298461,0.339515871471732,0.0594166082369396,0.0184209656873722,0.0198269501150851,0.213480196911239,0.0805926426266579,0.130890542460363,0.536788702199283,0.273985250011931,0.443299915200417,0.282714834787652,5
"238","NV",12495,0.442688774514257,0.557311225485743,0.104349994105175,0.248587657976471,0.231655015529481,0.365222080273984,0.0501852521148892,0.0891828999831853,0.10751773762425,0.141754106566835,0.0124680374872198,0.13578197265961,0.5132952456789,0.250932058762705,0.49480482331954,0.254263117917755,5
"239","NY",13000,0.475620265331835,0.524379734668165,0.0868738136281647,0.262105753157862,0.220531003588347,0.372431606283337,0.0580578233422898,0.132998754575134,0.100302181555059,0.0855404190255093,0.00501034077178573,0.0976613583723427,0.578486945700168,0.453971369391378,0.344639149397163,0.201389481211458,5
"240","OH",10900,0.464608899753712,0.535391100246288,0.112264983437793,0.239380444653895,0.214913823860803,0.378486908847163,0.054953839200346,0.106985401472487,0.0284740888066582,0.0471831886123425,0.00136063033555374,0.0151553400722818,0.800841350700676,0.330984517297659,0.427235452839188,0.241780029863153,5
"241","OK",10242,0.450048061243756,0.549951938756244,0.132639592166017,0.244002643368407,0.227211246331039,0.343086046791054,0.0530604713434834,0.0644612849516813,0.0279690691566968,0.113513791860485,0.0638948488645531,0.0416725312827203,0.688488473883863,0.267868483839407,0.485134485658868,0.246997030501725,5
"242","OR",12200,0.447315568481828,0.552684431518172,0.106127038647947,0.263516107027783,0.240306574925224,0.341481710567009,0.0485685688320367,0.0185705501781384,0.0585952036801859,0.106559132945399,0.0107270516619546,0.0542165019078681,0.751331559626454,0.360213108030154,0.386987600867698,0.252799291102148,5
"243","PA",10413,0.473635907134244,0.526364092865756,0.0974740773717715,0.237143629588603,0.213696927844303,0.390148919277041,0.0615364459182815,0.093382806584593,0.042032691606607,0.0525905977453097,0.00176213403348383,0.0315545339185059,0.778677236111501,0.389516627990129,0.400096443043832,0.210386928966039,5
"244","RI",12300,0.48116686269837,0.51883313730163,0.0968499114654203,0.247684135269563,0.210917300246257,0.383827512601123,0.0607211404176372,0.0588761361510649,0.0379635252906522,0.0920247128071484,0.00368232101536735,0.0666661541654815,0.740787150570286,0.396109603503458,0.385357328638822,0.218533067857719,5
"245","SC",10000,0.465032598663058,0.534967401336942,0.110261158003998,0.23475349311563,0.222683270227388,0.376660319618752,0.0556417590342322,0.23827988544068,0.0210008755051652,0.0508086705632167,0.00297709251046263,0.029044149582026,0.657889326398449,0.311967299475884,0.419520703103763,0.268511997420353,5
"246","SD",10029,0.466787220399592,0.533212779600408,0.129746803233916,0.232789710637114,0.213478495407988,0.36832105743492,0.0556639332860618,0.0254044939627007,0.0166716991630223,0.0445494671773802,0.0278506264609789,0.0151483794796286,0.870375333756289,0.311523964295287,0.391832428049438,0.296643607655275,5
"247","TN",11799,0.462231346612482,0.537768653387518,0.111576989677107,0.250300747786321,0.217467431429505,0.368602633584703,0.0520521975223651,0.155680664683341,0.0224542248697784,0.0537319946471285,0.00213069928031274,0.0243763764150513,0.741626040104388,0.323678378122069,0.43637450080258,0.239947121075351,5
"248","TX",11799,0.432459712911722,0.567540287088278,0.113013743578889,0.256063193504482,0.238976793062148,0.346338021332141,0.0456082485223397,0.120175533808737,0.0629708997128534,0.178740275754913,0.00699033143214763,0.0898277432834714,0.541295216007877,0.332836838933105,0.427664179090485,0.23949898197641,5
"249","UT",10000,0.416446565719968,0.583553434280032,0.176918845342793,0.265003596843241,0.230812428151293,0.290118907405971,0.0371462222567018,0.0117179510688267,0.0362549456594565,0.077189313849257,0.0107508586581659,0.0691554823648892,0.794931448399405,0.320778469719517,0.402328074419392,0.276893455861091,5
"250","VA",11255,0.464786090926877,0.535213909073123,0.101583366709322,0.244134638306841,0.227211077855895,0.371530939080562,0.0555399780473813,0.180758702842676,0.0801248476894298,0.073113126730132,0.00310682244502358,0.0448079551161429,0.618088545176596,0.417538219037615,0.367079251606561,0.215382529355824,5
"251","VT",9911,0.480256446945115,0.519743553054885,0.108108357604095,0.224861875902942,0.203879013907031,0.395549565434127,0.067601187151805,0.0151948045953668,0.0200781895473407,0.0401656104461974,0.00155548273044915,0.00691428228549801,0.916091630395148,0.41249371114178,0.374695942359441,0.212810346498779,5
"252","WA",14578,0.432778358058839,0.567221641941161,0.10102344190583,0.273099368751687,0.240118590742982,0.342719659434955,0.0430389391645454,0.0380981851364003,0.127276779839258,0.0979606644527726,0.00822681783745781,0.0605686965174837,0.667868856216628,0.39921071237042,0.362806341964833,0.237982945664747,5
"253","WI",11255,0.460076936193176,0.539923063806824,0.119513892922657,0.227357599650733,0.217500735447049,0.390185576243842,0.0454421957357187,0.050141561845944,0.0310091645134151,0.0575962779821207,0.00574960323334376,0.0225028059412879,0.833000586483889,0.32972152320921,0.393973831201318,0.276304645589473,5
"254","WV",10413,0.449989090025813,0.550010909974187,0.119814159911403,0.226314034343775,0.211968447531258,0.386365414146737,0.0555379440668267,0.0323141084492604,0.0100083574519241,0.0312869240871645,0.000994248590966541,0.00763080647352582,0.917765554947159,0.248142216659736,0.502513411034307,0.249344372305957,5
"255","WY",10204,0.411724265738864,0.588275734261136,0.131087955905474,0.230910406092888,0.238927049146027,0.341666816119371,0.0574077727362399,0.00693460547475146,0.00725144520764959,0.0635054430674869,0.0118785009295958,0.0359523425216856,0.874477662798831,0.236499937229864,0.46084638055441,0.302653682215726,5
"256","AK",14000,0.447327102407146,0.552672897592854,0.111185962381048,0.256097431599495,0.241054094482342,0.337758988340883,0.0539035231962317,0.0300230211858563,0.114336788279352,0.102030532245573,0.0815979036929377,0.032335748612894,0.639676005983387,0.28312345508747,0.438765767390543,0.278110777521987,6
"257","AL",12271,0.45518001596456,0.54481998403544,0.111234972753126,0.241591480039117,0.22086035847694,0.373970164932565,0.0523430237982522,0.243093945561541,0.0169687377976509,0.037139371991527,0.00451707205821881,0.0219156780964163,0.676365194494646,0.280515289003459,0.442505122826902,0.276979588169639,6
"258","AR",14000,0.450867466645688,0.549132533354312,0.113832726330355,0.250262623270967,0.226654295220951,0.363061053547381,0.0461893016303468,0.128464429008418,0.0242643077620795,0.0891542373744152,0.00627519216619078,0.034542480181777,0.71729935350712,0.262455516014235,0.481151284887246,0.25639319909852,6
"259","AZ",15000,0.444258171157205,0.555741828842795,0.117698681495749,0.258979530998443,0.220396532904251,0.353375605205981,0.0495496493955743,0.0494876755792855,0.0448011884497092,0.157262403923621,0.0267324282743549,0.0885121805690825,0.633204123203947,0.325775995867206,0.40810888935231,0.266115114780484,6
"260","CA",15619,0.433373975419249,0.566626024580751,0.0882139909697926,0.271607437675536,0.237988616518951,0.355740528408917,0.0464494264268025,0.0472616335867235,0.178907146421509,0.150733167393553,0.0107513781159956,0.182075772397587,0.430270902084632,0.389857119244476,0.388787419322452,0.221355461433072,6
"261","CO",15619,0.439650402914618,0.560349597085382,0.100008004426095,0.279671123806321,0.236900807037451,0.337863301518676,0.0455567632114563,0.0363718101229309,0.0375201180426309,0.11426595133611,0.0086805232176182,0.0542790705401377,0.748882526740573,0.454165598990335,0.322981110057838,0.222853290951827,6
"262","CT",14990,0.469040924964147,0.530959075035853,0.0876706557230941,0.225523209178341,0.213410197616289,0.408887466476532,0.0645084710057446,0.106919405935781,0.054557976357346,0.0858338532340526,0.00219978771845958,0.0702951685693683,0.680193808184993,0.454347315286702,0.350498699573006,0.195153985140292,6
"263","DC",25000,0.521091317843084,0.478908682156916,0.0656400482933125,0.398498466548555,0.246587318842256,0.247327446236683,0.0419467200791936,0.298928203016944,0.0495469032607238,0.0799337585981987,0.00505599526318468,0.0477659717178819,0.518769168143067,0.761600340458601,0.144250829173972,0.094148830367427,6
"264","DE",13506,0.475760509713286,0.524239490286714,0.09301955150228,0.235298894371916,0.219982509838216,0.391192454244487,0.0605065900431008,0.220335436317072,0.0515241426697483,0.0699762633518646,0.00301080642138797,0.044262602286214,0.610890748953714,0.360762695983509,0.415104003997751,0.224133300018739,6
"265","FL",14400,0.467942732095035,0.532057267904965,0.089760350133903,0.237517260351616,0.224731556695475,0.3891414083024,0.0588494245166064,0.151822467834531,0.0326978796669649,0.168404707740523,0.00310908660798295,0.0613173064780345,0.582648551671964,0.34064715720749,0.40941079725779,0.24994204553472,6
"266","GA",13536,0.459570330008115,0.540429669991885,0.0988565821008607,0.248437855478297,0.232539053982851,0.375104618788218,0.0450618896497737,0.298934448951505,0.0528740175301002,0.064554932666771,0.00439569022365714,0.0446610173753724,0.534579893252595,0.364228998360713,0.396778347808619,0.238992653830667,6
"267","HI",14473,0.485803765802238,0.514196234197762,0.0780710129982559,0.226734904327235,0.231633757272531,0.382263300614903,0.0812970247870756,0.0092349998090364,0.530216807343187,0.249971355459649,0.00188162802836446,0.0164839781537639,0.192211231205999,0.337073673757782,0.3976906135024,0.265235712739818,6
"268","IA",12000,0.453513999543879,0.546486000456121,0.119883128390529,0.232188856445323,0.22182799759228,0.376182829668789,0.0499171879030781,0.0363597447218972,0.0286066257154928,0.04862079537,0.00334613213296295,0.0210731550474253,0.861993547012222,0.310513584548721,0.402408841266221,0.287077574185058,6
"269","ID",11255,0.428858344981434,0.571141655018566,0.138102347974642,0.245757267708642,0.22994761884592,0.344863187767377,0.0413295777034182,0.0078006974741271,0.016903864345518,0.082468550129188,0.01151750038827,0.0588176119276547,0.822491775735242,0.279909144817654,0.442481327742245,0.277609527440101,6
"270","IL",15000,0.458341227079423,0.541658772920577,0.0907168377984099,0.248676011460435,0.231686489605367,0.379853369043044,0.049067292092744,0.108138053151094,0.06753410273511,0.0886429336469808,0.00568489878679644,0.0813833347154689,0.64861667696455,0.413489720999389,0.360934541670219,0.225575737330392,6
"271","IN",13506,0.4494588746928,0.5505411253072,0.109210694114519,0.236641759267865,0.221632475732038,0.383253755022728,0.0492613158628501,0.0836123437523641,0.0263574604396008,0.0536849909326117,0.00249477463379207,0.0319530873430499,0.801897342898581,0.307798818537676,0.445616636442039,0.246584545020285,6
